"X","Unnamed..0","coordinatorCountry","countryName","coordinator","totalCost","latitude","longitude","startDate","endDate","status","uni_lat","uni_lng","startYear","startMonth","startDay","endYear","endMonth","endDay"
74,75,"AT","Austria","AEE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN",1995250,47.33333,13.33333,2017-09-01,2020-08-31,"SIGNED",47.33333,13.33333,2017,9,1,2020,8,31
75,76,"AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN",6469522.5,47.33333,13.33333,2015-11-01,2020-04-30,"SIGNED",48.2196989,16.3515215,2015,11,1,2020,4,30
76,77,"AT","Austria","UNIVERSITAET INNSBRUCK",1496664.3,47.33333,13.33333,2017-02-01,2022-01-31,"SIGNED",47.2633542,11.3838006,2017,2,1,2022,1,31
77,78,"AT","Austria","GREENETICA GMBH",71429,47.33333,13.33333,2015-07-01,2015-12-31,"SIGNED",47.33333,13.33333,2015,7,1,2015,12,31
78,79,"AT","Austria","SALZBURG RESEARCH FORSCHUNGSGESELLSCHAFT M.B.H.",7994750,47.33333,13.33333,2016-10-01,2019-09-30,"SIGNED",47.8226204,13.0410314,2016,10,1,2019,9,30
79,80,"AT","Austria","PAYBON GMBH",71429,47.33333,13.33333,2016-08-01,2017-01-31,"SIGNED",47.33333,13.33333,2016,8,1,2017,1,31
80,81,"AT","Austria","BUNDESMINISTERIUM FUER VERKEHR, INNOVATION UND TECHNOLOGIE",37622856,47.33333,13.33333,2018-01-01,2023-12-31,"SIGNED",48.2109855,16.3863925,2018,1,1,2023,12,31
81,82,"AT","Austria","UNIVERSITAT WIEN",1257973,47.33333,13.33333,2018-02-01,2023-01-31,"SIGNED",48.2131855,16.3600504,2018,2,1,2023,1,31
82,83,"AT","Austria","UNIVERSITAT LINZ",1499975,47.33333,13.33333,2018-01-01,2022-12-31,"SIGNED",48.336614,14.319305,2018,1,1,2022,12,31
83,84,"AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN",166156.8,47.33333,13.33333,2018-10-01,2020-09-30,"SIGNED",48.2196989,16.3515215,2018,10,1,2020,9,30
84,85,"AT","Austria","MOBILITY SERVICES HUB MSH GMBH",71429,47.33333,13.33333,2017-12-01,2018-03-31,"SIGNED",47.33333,13.33333,2017,12,1,2018,3,31
85,86,"AT","Austria","RE-COMPOSE GMBH",99937.5,47.33333,13.33333,2017-05-01,2018-04-30,"SIGNED",48.2130053,16.3449025,2017,5,1,2018,4,30
86,87,"AT","Austria","EUTEMA GMBH",492937.5,47.33333,13.33333,2015-11-01,2017-10-31,"SIGNED",48.199717,16.3490658,2015,11,1,2017,10,31
87,88,"AT","Austria","TECHNISCHE UNIVERSITAET GRAZ",2463975,47.33333,13.33333,2015-09-01,2018-08-31,"SIGNED",47.0691371,15.4503154,2015,9,1,2018,8,31
88,89,"AT","Austria","TECHNISCHE UNIVERSITAET WIEN",178156.8,47.33333,13.33333,2015-09-01,2017-08-31,"SIGNED",48.1986546,16.3684626,2015,9,1,2017,8,31
89,90,"AT","Austria","INSTITUT FUER MOLEKULARE BIOTECHNOLOGIE GMBH",178156.8,47.33333,13.33333,2017-09-01,2019-08-31,"SIGNED",47.33333,13.33333,2017,9,1,2019,8,31
90,91,"AT","Austria","LINZ CENTER OF MECHATRONICS GMBH",2355125,47.33333,13.33333,2016-01-01,2018-06-30,"SIGNED",48.336062,14.3225241,2016,1,1,2018,6,30
91,92,"AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH",1500000,47.33333,13.33333,2018-03-01,2023-02-28,"SIGNED",48.189414,16.402834,2018,3,1,2023,2,28
92,93,"AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN",1713352.5,47.33333,13.33333,2017-09-01,2022-08-31,"SIGNED",48.2088405,16.3771845,2017,9,1,2022,8,31
93,94,"AT","Austria","UNIVERSITAET INNSBRUCK",1992368,47.33333,13.33333,2016-07-01,2021-06-30,"SIGNED",47.2633542,11.3838006,2016,7,1,2021,6,30
94,95,"AT","Austria","UNIVERSITAT WIEN",261208.8,47.33333,13.33333,2018-09-01,2021-08-31,"SIGNED",48.2131855,16.3600504,2018,9,1,2021,8,31
95,96,"AT","Austria","EUTEMA GMBH",1256500,47.33333,13.33333,2017-02-01,2019-07-31,"SIGNED",48.199717,16.3490658,2017,2,1,2019,7,31
96,97,"AT","Austria","ENERGIEINSTITUT AN DER JOHANNES KEPLER UNIVERSITAT LINZ VEREIN",1997325,47.33333,13.33333,2018-03-01,2021-02-28,"SIGNED",48.3381553,14.3173528,2018,3,1,2021,2,28
97,98,"AT","Austria","MEDIZINISCHE UNIVERSITAT INNSBRUCK",2999287.5,47.33333,13.33333,2015-05-01,2018-04-30,"SIGNED",47.2629925,11.3844742,2015,5,1,2018,4,30
98,99,"AT","Austria","USOUND GMBH",71429,47.33333,13.33333,2016-08-01,2017-01-31,"SIGNED",48.161941,16.337032,2016,8,1,2017,1,31
99,100,"AT","Austria","UNIVERSITAET FUER BODENKULTUR WIEN",5243123.75,47.33333,13.33333,2016-03-01,2020-02-29,"SIGNED",48.2365448,16.337579,2016,3,1,2020,2,29
100,101,"AT","Austria","SYNYO GmbH",1342844,47.33333,13.33333,2015-09-01,2017-08-31,"SIGNED",47.33333,13.33333,2015,9,1,2017,8,31
101,102,"AT","Austria","UNIVERSITAT WIEN",178156.8,47.33333,13.33333,2016-04-15,2018-04-14,"SIGNED",48.2131855,16.3600504,2016,4,15,2018,4,14
102,103,"AT","Austria","SZELESTIM GMBH",71429,47.33333,13.33333,2018-02-01,2018-05-31,"SIGNED",47.33333,13.33333,2018,2,1,2018,5,31
103,104,"AT","Austria","UNIVERSITAT WIEN",1998566.25,47.33333,13.33333,2015-09-01,2020-08-31,"SIGNED",48.2131855,16.3600504,2015,9,1,2020,8,31
104,105,"AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN",2499875,47.33333,13.33333,2018-06-01,2023-05-31,"SIGNED",48.2196989,16.3515215,2018,6,1,2023,5,31
105,106,"AT","Austria","DECIDE CLINICAL SOFTWARE GMBH",71429,47.33333,13.33333,2016-11-01,2017-02-28,"SIGNED",47.0803466,15.4692716,2016,11,1,2017,2,28
106,107,"AT","Austria","Kompetenzzentrum - Das Virtuelle Fahrzeug, Forschungsgesellschaft mbH",7916441.25,47.33333,13.33333,2014-12-01,2018-11-30,"SIGNED",47.057954,15.462953,2014,12,1,2018,11,30
107,108,"AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN",166156.8,47.33333,13.33333,2015-08-03,2017-08-02,"CLOSED",48.2196989,16.3515215,2015,8,3,2017,8,2
108,109,"AT","Austria","G.TEC MEDICAL ENGINEERING GMBH",2664250,47.33333,13.33333,2016-02-01,2018-05-31,"SIGNED",48.0813994,14.2712087,2016,2,1,2018,5,31
109,110,"AT","Austria","VETERINAERMEDIZINISCHE UNIVERSITAET WIEN",166156.8,47.33333,13.33333,2017-01-01,2018-12-31,"SIGNED",48.2544223,16.4316619,2017,1,1,2018,12,31
110,111,"AT","Austria","AVL LIST GMBH",4889290,47.33333,13.33333,2017-01-01,2019-12-31,"SIGNED",47.33333,13.33333,2017,1,1,2019,12,31
111,112,"AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH",2500000,47.33333,13.33333,2016-10-01,2021-09-30,"SIGNED",48.189414,16.402834,2016,10,1,2021,9,30
112,113,"AT","Austria","UNIVERSITAT WIEN",178156.8,47.33333,13.33333,2018-09-01,2020-08-31,"SIGNED",48.2131855,16.3600504,2018,9,1,2020,8,31
113,114,"AT","Austria","ZENTRUM FUR SOZIALE INNOVATION GMBH",999933.75,47.33333,13.33333,2016-02-15,2019-02-14,"SIGNED",47.33333,13.33333,2016,2,15,2019,2,14
114,115,"AT","Austria","MEDIZINISCHE UNIVERSITAT INNSBRUCK",2355000,47.33333,13.33333,2018-10-01,2023-09-30,"SIGNED",47.2629925,11.3844742,2018,10,1,2023,9,30
115,116,"AT","Austria","INSTITUT FUER HOEHERE STUDIEN - INSTITUTE FOR ADVANCED STUDIES",6799943,47.33333,13.33333,2017-05-01,2021-04-30,"SIGNED",48.2097034,16.347588,2017,5,1,2021,4,30
116,117,"AT","Austria","LKR LEICHTMETALL KOMPETENZZENTRUM RANSHOFEN GMBH",1366410,47.33333,13.33333,2015-12-01,2020-11-30,"SIGNED",48.2283349,13.0300686,2015,12,1,2020,11,30
117,118,"AT","Austria","UNIVERSITAT LINZ",1e+05,47.33333,13.33333,2018-07-01,2019-12-31,"SIGNED",48.336614,14.319305,2018,7,1,2019,12,31
118,119,"AT","Austria","INSTITUT FUER HOEHERE STUDIEN - INSTITUTE FOR ADVANCED STUDIES",178156.8,47.33333,13.33333,2018-05-01,2020-04-30,"SIGNED",48.2097034,16.347588,2018,5,1,2020,4,30
119,120,"AT","Austria","TECHNISCHE UNIVERSITAET GRAZ",3029223.96,47.33333,13.33333,2018-01-01,2021-12-31,"SIGNED",47.0691371,15.4503154,2018,1,1,2021,12,31
120,121,"AT","Austria","Institute of Science and Technology Austria",2306862,47.33333,13.33333,2017-07-01,2022-06-30,"SIGNED",48.309852,16.259696,2017,7,1,2022,6,30
121,122,"AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH",4192058.75,47.33333,13.33333,2017-01-01,2019-12-31,"SIGNED",46.615451,13.844114,2017,1,1,2019,12,31
122,123,"AT","Austria","TECHNISCHE UNIVERSITAET WIEN",1460826,47.33333,13.33333,2017-07-01,2022-06-30,"SIGNED",48.1986546,16.3684626,2017,7,1,2022,6,30
123,124,"AT","Austria","UBERGRAPE GMBH",71429,47.33333,13.33333,2016-09-01,2016-11-30,"SIGNED",47.33333,13.33333,2016,9,1,2016,11,30
124,125,"AT","Austria","UNIVERSITAET INNSBRUCK",1499260,47.33333,13.33333,2016-05-01,2021-04-30,"SIGNED",47.2633542,11.3838006,2016,5,1,2021,4,30
125,126,"AT","Austria","Institute of Science and Technology Austria",9180400,47.33333,13.33333,2017-07-01,2022-06-30,"SIGNED",48.309852,16.259696,2017,7,1,2022,6,30
126,127,"AT","Austria","Sign time GmbH",71429,47.33333,13.33333,2015-02-01,2015-07-31,"SIGNED",48.2174861,16.3693019,2015,2,1,2015,7,31
127,128,"AT","Austria","EIBIR GEMEINNUETZIGE GMBH ZUR FOERDERUNG DER ERFORSCHUNG DER BIOMEDIZINISCHEN BILDGEBUNG",995287.5,47.33333,13.33333,2016-12-01,2018-11-30,"SIGNED",47.33333,13.33333,2016,12,1,2018,11,30
128,129,"AT","Austria","TECHNISCHE UNIVERSITAET WIEN",166156.8,47.33333,13.33333,2015-04-01,2017-03-31,"SIGNED",48.1986546,16.3684626,2015,4,1,2017,3,31
129,130,"AT","Austria","CNSYSTEMS MEDIZINTECHNIK AG",71429,47.33333,13.33333,2015-05-01,2015-09-30,"SIGNED",47.0644135,15.4085398,2015,5,1,2015,9,30
130,131,"AT","Austria","AVL LIST GMBH",9945610.68,47.33333,13.33333,2016-09-01,2019-08-31,"SIGNED",47.33333,13.33333,2016,9,1,2019,8,31
131,132,"AT","Austria","UNIVERSITAET GRAZ",166156.8,47.33333,13.33333,2018-09-01,2020-08-31,"SIGNED",47.0777872,15.4499126,2018,9,1,2020,8,31
132,133,"AT","Austria","MONTANUNIVERSITAT LEOBEN",1499679,47.33333,13.33333,2018-02-01,2023-01-31,"SIGNED",47.3847372,15.0930201,2018,2,1,2023,1,31
133,134,"AT","Austria","HELIOZ GMBH",71429,47.33333,13.33333,2017-05-01,2017-08-31,"SIGNED",48.197691,16.349291,2017,5,1,2017,8,31
134,135,"AT","Austria","TECHNISCHE UNIVERSITAET WIEN",2996653.75,47.33333,13.33333,2018-07-01,2021-06-30,"SIGNED",48.1986546,16.3684626,2018,7,1,2021,6,30
135,136,"AT","Austria","Institute of Science and Technology Austria",1500000,47.33333,13.33333,2017-05-01,2022-04-30,"SIGNED",48.309852,16.259696,2017,5,1,2022,4,30
136,137,"AT","Austria","UNIVERSITAT WIEN",1497202,47.33333,13.33333,2017-10-01,2022-09-30,"SIGNED",48.2131855,16.3600504,2017,10,1,2022,9,30
137,138,"AT","Austria","UNIVERSITAET INNSBRUCK",178156.8,47.33333,13.33333,2019-08-01,2021-07-31,"SIGNED",47.2633542,11.3838006,2019,8,1,2021,7,31
138,139,"AT","Austria","UNIVERSITAT WIEN",2495190.99,47.33333,13.33333,2017-12-01,2022-11-30,"SIGNED",48.2131855,16.3600504,2017,12,1,2022,11,30
139,140,"AT","Austria","OESTERREICHISCHE FORSCHUNGSFOERDERUNGSGESELLSCHAFT MBH",1216638.75,47.33333,13.33333,2017-10-01,2019-02-28,"SIGNED",48.2194511,16.3521465,2017,10,1,2019,2,28
140,141,"AT","Austria","UNIVERSITAET INNSBRUCK",2421223.75,47.33333,13.33333,2017-10-01,2022-09-30,"SIGNED",47.2633542,11.3838006,2017,10,1,2022,9,30
