document;term;count;rank;Title
1000;infrastructure;0,035912324;3;Transport infrastructure innovation to increase the transport system safety at modal and intermodal level (including nodes and interchanges)
1000;crossing;0,029556011;4;Transport infrastructure innovation to increase the transport system safety at modal and intermodal level (including nodes and interchanges)
1000;safety;0,024877643;5;Transport infrastructure innovation to increase the transport system safety at modal and intermodal level (including nodes and interchanges)
1000;objects;0,023379326;6;Transport infrastructure innovation to increase the transport system safety at modal and intermodal level (including nodes and interchanges)
1000;equipped;0,021262853;7;Transport infrastructure innovation to increase the transport system safety at modal and intermodal level (including nodes and interchanges)
1000;maintenance;0,021173489;8;Transport infrastructure innovation to increase the transport system safety at modal and intermodal level (including nodes and interchanges)
1000;safe;0,019295919;9;Transport infrastructure innovation to increase the transport system safety at modal and intermodal level (including nodes and interchanges)
1000;level;0,018279296;10;Transport infrastructure innovation to increase the transport system safety at modal and intermodal level (including nodes and interchanges)
1001;sites;0,054434874;1;Transportable FC gensets for temporary power supply in urban applications
1001;hydrogen;0,049707323;2;Transportable FC gensets for temporary power supply in urban applications
1001;demonstration;0,049075917;3;Transportable FC gensets for temporary power supply in urban applications
1001;cities;0,043329889;4;Transportable FC gensets for temporary power supply in urban applications
1001;music;0,043024991;5;Transportable FC gensets for temporary power supply in urban applications
1001;campaign;0,039463148;6;Transportable FC gensets for temporary power supply in urban applications
1001;realized;0,036476031;7;Transportable FC gensets for temporary power supply in urban applications
1001;events;0,036275486;8;Transportable FC gensets for temporary power supply in urban applications
1001;construction;0,029543721;9;Transportable FC gensets for temporary power supply in urban applications
1001;easy;0,026673341;10;Transportable FC gensets for temporary power supply in urban applications
1002;travel;0,12244446;1;Travel companion and tracking services
1002;door;0,076689518;2;Travel companion and tracking services
1002;transportation;0,05961344;3;Travel companion and tracking services
1002;shift2rail;0,045576215;4;Travel companion and tracking services
1002;journey;0,043081297;5;Travel companion and tracking services
1002;left;0,039947507;6;Travel companion and tracking services
1002;multimodal;0,038344759;7;Travel companion and tracking services
1002;forms;0,030862563;8;Travel companion and tracking services
1002;public;0,030385776;9;Travel companion and tracking services
1002;private;0,022225551;10;Travel companion and tracking services
1003;trust;0,156052355;1;Trust eServices
1003;transactions;0,061948917;2;Trust eServices
1003;electronic;0,057728611;3;Trust eServices
1003;signatures;0,045009337;4;Trust eServices
1003;domain;0,036331509;5;Trust eServices
1003;services;0,031133463;6;Trust eServices
1003;global;0,029031145;7;Trust eServices
1003;regulation;0,020482708;8;Trust eServices
1003;infrastructure;0,019030462;9;Trust eServices
1003;decisions;0,018999883;10;Trust eServices
1004;excellence;0,024009043;1;Twinning
1004;research;0,02216897;2;Twinning
1004;university;0,018117492;3;Twinning
1004;scientific;0,018076249;4;Twinning
1004;capacity;0,01226339;5;Twinning
1004;summer;0,011208944;6;Twinning
1004;institute;0,011051516;7;Twinning
1004;staff;0,010482079;8;Twinning
1004;training;0,010440282;9;Twinning
1004;institutions;0,01031844;10;Twinning
1005;food;0,082583478;1;Understanding food value chain and network dynamics
1005;chains;0,070507683;2;Understanding food value chain and network dynamics
1005;dynamics;0,043596848;3;Understanding food value chain and network dynamics
1005;value;0,032486263;4;Understanding food value chain and network dynamics
1005;loop;0,030869755;5;Understanding food value chain and network dynamics
1005;analysis;0,030729481;6;Understanding food value chain and network dynamics
1005;beyond;0,023730197;7;Understanding food value chain and network dynamics
1005;asian;0,02007751;8;Understanding food value chain and network dynamics
1005;comprehensive;0,020035153;9;Understanding food value chain and network dynamics
1005;makers;0,01933244;10;Understanding food value chain and network dynamics
1006;viral;0,039444538;1;Understanding host-pathogen-environment interactions
1006;prevention;0,039283479;2;Understanding host-pathogen-environment interactions
1006;host;0,035797397;3;Understanding host-pathogen-environment interactions
1006;pathogen;0,035142274;4;Understanding host-pathogen-environment interactions
1006;dynamics;0,030523553;5;Understanding host-pathogen-environment interactions
1006;strategies;0,025568741;6;Understanding host-pathogen-environment interactions
1006;infections;0,025220885;7;Understanding host-pathogen-environment interactions
1006;factors;0,024034044;8;Understanding host-pathogen-environment interactions
1006;genetic;0,02240222;9;Understanding host-pathogen-environment interactions
1006;disease;0,022211152;10;Understanding host-pathogen-environment interactions
1007;glucose;0,094664652;1;Understanding hypoglycaemia: the underlying mechanisms and addressing clinical determinants as well as consequences for people with diabetes by combining databases from clinical trials
1007;resolve;0,090562387;2;Understanding hypoglycaemia: the underlying mechanisms and addressing clinical determinants as well as consequences for people with diabetes by combining databases from clinical trials
1007;diabetes;0,062981069;3;Understanding hypoglycaemia: the underlying mechanisms and addressing clinical determinants as well as consequences for people with diabetes by combining databases from clinical trials
1007;burden;0,051046112;4;Understanding hypoglycaemia: the underlying mechanisms and addressing clinical determinants as well as consequences for people with diabetes by combining databases from clinical trials
1007;complications;0,042731744;5;Understanding hypoglycaemia: the underlying mechanisms and addressing clinical determinants as well as consequences for people with diabetes by combining databases from clinical trials
1007;cardiovascular;0,039392872;6;Understanding hypoglycaemia: the underlying mechanisms and addressing clinical determinants as well as consequences for people with diabetes by combining databases from clinical trials
1007;consequences;0,03630717;7;Understanding hypoglycaemia: the underlying mechanisms and addressing clinical determinants as well as consequences for people with diabetes by combining databases from clinical trials
1007;lives;0,036081874;8;Understanding hypoglycaemia: the underlying mechanisms and addressing clinical determinants as well as consequences for people with diabetes by combining databases from clinical trials
1007;trials;0,030035122;9;Understanding hypoglycaemia: the underlying mechanisms and addressing clinical determinants as well as consequences for people with diabetes by combining databases from clinical trials
1007;threshold;0,023951755;10;Understanding hypoglycaemia: the underlying mechanisms and addressing clinical determinants as well as consequences for people with diabetes by combining databases from clinical trials
1008;pet;0,104254807;1;Understanding the role of amyloid imaging biomarkers in the current and future diagnosis and management of patients across the spectrum of cognitive impairment (from pre-dementia to dementia)
1008;imaging;0,064749253;2;Understanding the role of amyloid imaging biomarkers in the current and future diagnosis and management of patients across the spectrum of cognitive impairment (from pre-dementia to dementia)
1008;disease;0,055354213;3;Understanding the role of amyloid imaging biomarkers in the current and future diagnosis and management of patients across the spectrum of cognitive impairment (from pre-dementia to dementia)
1008;patients;0,043569467;4;Understanding the role of amyloid imaging biomarkers in the current and future diagnosis and management of patients across the spectrum of cognitive impairment (from pre-dementia to dementia)
1008;cohorts;0,042493818;5;Understanding the role of amyloid imaging biomarkers in the current and future diagnosis and management of patients across the spectrum of cognitive impairment (from pre-dementia to dementia)
1008;brain;0,035333823;6;Understanding the role of amyloid imaging biomarkers in the current and future diagnosis and management of patients across the spectrum of cognitive impairment (from pre-dementia to dementia)
1008;diagnostic;0,032729101;7;Understanding the role of amyloid imaging biomarkers in the current and future diagnosis and management of patients across the spectrum of cognitive impairment (from pre-dementia to dementia)
1008;clinical;0,028279979;8;Understanding the role of amyloid imaging biomarkers in the current and future diagnosis and management of patients across the spectrum of cognitive impairment (from pre-dementia to dementia)
1008;opportunity;0,028156931;9;Understanding the role of amyloid imaging biomarkers in the current and future diagnosis and management of patients across the spectrum of cognitive impairment (from pre-dementia to dementia)
1008;rationale;0,022623119;10;Understanding the role of amyloid imaging biomarkers in the current and future diagnosis and management of patients across the spectrum of cognitive impairment (from pre-dementia to dementia)
1009;public;0,073547705;1;Understanding the transformation of European public administrations
1009;administrations;0,044598138;2;Understanding the transformation of European public administrations
1009;governments;0,034782664;3;Understanding the transformation of European public administrations
1009;governance;0,027588802;4;Understanding the transformation of European public administrations
1009;service;0,021877427;5;Understanding the transformation of European public administrations
1009;services;0,021583408;6;Understanding the transformation of European public administrations
1009;policy;0,018814529;7;Understanding the transformation of European public administrations
1009;creation;0,018620779;8;Understanding the transformation of European public administrations
1009;citizens;0,016461728;9;Understanding the transformation of European public administrations
1009;transformation;0,015799412;10;Understanding the transformation of European public administrations
101;data;0,060337804;1;Big Data PPP: cross-sectorial and cross-lingual data integration and experimentation
101;big;0,025664919;2;Big Data PPP: cross-sectorial and cross-lingual data integration and experimentation
101;sectorial;0,017139995;3;Big Data PPP: cross-sectorial and cross-lingual data integration and experimentation
101;cross;0,016761195;4;Big Data PPP: cross-sectorial and cross-lingual data integration and experimentation
101;fashion;0,013668534;5;Big Data PPP: cross-sectorial and cross-lingual data integration and experimentation
101;services;0,012712483;6;Big Data PPP: cross-sectorial and cross-lingual data integration and experimentation
101;value;0,012017737;7;Big Data PPP: cross-sectorial and cross-lingual data integration and experimentation
101;streams;0,011372243;8;Big Data PPP: cross-sectorial and cross-lingual data integration and experimentation
101;sources;0,010281366;9;Big Data PPP: cross-sectorial and cross-lingual data integration and experimentation
101;analytics;0,010146629;10;Big Data PPP: cross-sectorial and cross-lingual data integration and experimentation
1010;waste;0,104957693;1;Unlocking the potential of urban organic waste
1010;bio;0,093701931;2;Unlocking the potential of urban organic waste
1010;urban;0,064574833;3;Unlocking the potential of urban organic waste
1010;territorial;0,044256163;4;Unlocking the potential of urban organic waste
1010;wastewater;0,042493818;5;Unlocking the potential of urban organic waste
1010;film;0,036510432;6;Unlocking the potential of urban organic waste
1010;clusters;0,035333823;7;Unlocking the potential of urban organic waste
1010;selected;0,032033521;8;Unlocking the potential of urban organic waste
1010;treatment;0,024864032;9;Unlocking the potential of urban organic waste
1010;products;0,02380522;10;Unlocking the potential of urban organic waste
1011;enabled;0,072312951;1;User-driven innovation: value creation through design-enabled innovation
1011;innovation;0,05504176;2;User-driven innovation: value creation through design-enabled innovation
1011;cities;0,046424881;3;User-driven innovation: value creation through design-enabled innovation
1011;innovators;0,043312991;4;User-driven innovation: value creation through design-enabled innovation
1011;organizational;0,04195582;5;User-driven innovation: value creation through design-enabled innovation
1011;instrument;0,034747294;6;User-driven innovation: value creation through design-enabled innovation
1011;design;0,03397779;7;User-driven innovation: value creation through design-enabled innovation
1011;perspective;0,030678727;8;User-driven innovation: value creation through design-enabled innovation
1011;financial;0,027804369;9;User-driven innovation: value creation through design-enabled innovation
1011;climate;0,027074065;10;User-driven innovation: value creation through design-enabled innovation
1012;co2;0,061540502;1;Utilisation of captured CO2 as feedstock for the process industry
1012;residual;0,056407616;2;Utilisation of captured CO2 as feedstock for the process industry
1012;steel;0,051235699;3;Utilisation of captured CO2 as feedstock for the process industry
1012;gas;0,05043094;4;Utilisation of captured CO2 as feedstock for the process industry
1012;recovered;0,038922325;5;Utilisation of captured CO2 as feedstock for the process industry
1012;chemical;0,037977819;6;Utilisation of captured CO2 as feedstock for the process industry
1012;equipment;0,034234469;7;Utilisation of captured CO2 as feedstock for the process industry
1012;separation;0,030492381;8;Utilisation of captured CO2 as feedstock for the process industry
1012;transportation;0,028535891;9;Utilisation of captured CO2 as feedstock for the process industry
1012;production;0,026411897;10;Utilisation of captured CO2 as feedstock for the process industry
1013;vaccine;0,181699166;1;Vaccine development for malaria and/or neglected infectious diseases
1013;vaccines;0,036349564;2;Vaccine development for malaria and/or neglected infectious diseases
1013;virus;0,035729526;3;Vaccine development for malaria and/or neglected infectious diseases
1013;clinical;0,029660177;4;Vaccine development for malaria and/or neglected infectious diseases
1013;candidates;0,021841542;5;Vaccine development for malaria and/or neglected infectious diseases
1013;infectious;0,020186389;6;Vaccine development for malaria and/or neglected infectious diseases
1013;immunity;0,014601376;7;Vaccine development for malaria and/or neglected infectious diseases
1013;vector;0,013713145;8;Vaccine development for malaria and/or neglected infectious diseases
1013;infection;0,012577896;9;Vaccine development for malaria and/or neglected infectious diseases
1013;neglected;0,011212475;10;Vaccine development for malaria and/or neglected infectious diseases
1014;vaccine;0,112239107;1;Vaccine development Phase I, II, and III
1014;phase;0,06295631;2;Vaccine development Phase I, II, and III
1014;trials;0,041847354;3;Vaccine development Phase I, II, and III
1014;trial;0,036587751;4;Vaccine development Phase I, II, and III
1014;prime;0,034125118;5;Vaccine development Phase I, II, and III
1014;clinical;0,033952741;6;Vaccine development Phase I, II, and III
1014;efficacy;0,032148487;7;Vaccine development Phase I, II, and III
1014;safety;0,027434239;8;Vaccine development Phase I, II, and III
1014;boost;0,023766919;9;Vaccine development Phase I, II, and III
1014;immune;0,022701162;10;Vaccine development Phase I, II, and III
1015;sesar;0,15185291;1;Validation and Demonstration Engineering
1015;validation;0,049939575;2;Validation and Demonstration Engineering
1015;engineering;0,04791689;3;Validation and Demonstration Engineering
1015;consistency;0,043811975;4;Validation and Demonstration Engineering
1015;coverage;0,033601783;5;Validation and Demonstration Engineering
1015;demonstration;0,029692992;6;Validation and Demonstration Engineering
1015;data;0,027452404;7;Validation and Demonstration Engineering
1015;requirements;0,025122781;8;Validation and Demonstration Engineering
1015;describing;0,02336785;9;Validation and Demonstration Engineering
1015;homogeneous;0,023098395;10;Validation and Demonstration Engineering
1016;pressure;0,075104206;1;Validation of aero-vibro-acoustic model on new aerodynamic configurations. 
1016;noise;0,059486271;2;Validation of aero-vibro-acoustic model on new aerodynamic configurations. 
1016;boundary;0,056979508;3;Validation of aero-vibro-acoustic model on new aerodynamic configurations. 
1016;acoustic;0,046334647;4;Validation of aero-vibro-acoustic model on new aerodynamic configurations. 
1016;array;0,044445723;5;Validation of aero-vibro-acoustic model on new aerodynamic configurations. 
1016;possibility;0,042088032;6;Validation of aero-vibro-acoustic model on new aerodynamic configurations. 
1016;layer;0,040230928;7;Validation of aero-vibro-acoustic model on new aerodynamic configurations. 
1016;measurement;0,038745863;8;Validation of aero-vibro-acoustic model on new aerodynamic configurations. 
1016;aeronautic;0,029705013;9;Validation of aero-vibro-acoustic model on new aerodynamic configurations. 
1016;bypass;0,029705013;10;Validation of aero-vibro-acoustic model on new aerodynamic configurations. 
1017;incidents;0,07307861;1;Validation of biological toxins measurements after an incident: Development of tools and procedures for quality control
1017;procedures;0,060352632;2;Validation of biological toxins measurements after an incident: Development of tools and procedures for quality control
1017;certified;0,045534401;3;Validation of biological toxins measurements after an incident: Development of tools and procedures for quality control
1017;reference;0,044570807;4;Validation of biological toxins measurements after an incident: Development of tools and procedures for quality control
1017;standard;0,041120985;5;Validation of biological toxins measurements after an incident: Development of tools and procedures for quality control
1017;analytical;0,038236402;6;Validation of biological toxins measurements after an incident: Development of tools and procedures for quality control
1017;establishment;0,035919017;7;Validation of biological toxins measurements after an incident: Development of tools and procedures for quality control
1017;biological;0,035567806;8;Validation of biological toxins measurements after an incident: Development of tools and procedures for quality control
1017;materials;0,03014773;9;Validation of biological toxins measurements after an incident: Development of tools and procedures for quality control
1017;tests;0,028105268;10;Validation of biological toxins measurements after an incident: Development of tools and procedures for quality control
1018;pathogens;0,040207743;1;Validation of diagnostic tools for animal and plant health
1018;detection;0,03758706;2;Validation of diagnostic tools for animal and plant health
1018;validation;0,033107573;3;Validation of diagnostic tools for animal and plant health
1018;diagnostic;0,027692102;4;Validation of diagnostic tools for animal and plant health
1018;animal;0,026274738;5;Validation of diagnostic tools for animal and plant health
1018;diseases;0,025032836;6;Validation of diagnostic tools for animal and plant health
1018;infectious;0,021170405;7;Validation of diagnostic tools for animal and plant health
1018;virus;0,020438845;8;Validation of diagnostic tools for animal and plant health
1018;chip;0,019197974;9;Validation of diagnostic tools for animal and plant health
1018;portable;0,018661801;10;Validation of diagnostic tools for animal and plant health
1019;fuel;0,072335784;1;Validation of Fuel Cell Trucks for the Collect of Urban Wastes
1019;vehicle;0,071842302;2;Validation of Fuel Cell Trucks for the Collect of Urban Wastes
1019;cell;0,066603627;3;Validation of Fuel Cell Trucks for the Collect of Urban Wastes
1019;hydrogen;0,061812215;4;Validation of Fuel Cell Trucks for the Collect of Urban Wastes
1019;duty;0,056968062;5;Validation of Fuel Cell Trucks for the Collect of Urban Wastes
1019;demanding;0,045062742;6;Validation of Fuel Cell Trucks for the Collect of Urban Wastes
1019;raise;0,040761835;7;Validation of Fuel Cell Trucks for the Collect of Urban Wastes
1019;vehicles;0,034266678;8;Validation of Fuel Cell Trucks for the Collect of Urban Wastes
1019;substantial;0,034124969;9;Validation of Fuel Cell Trucks for the Collect of Urban Wastes
1019;progress;0,031660059;10;Validation of Fuel Cell Trucks for the Collect of Urban Wastes
102;big;0,06782895;1;Big Data PPP: Large Scale Pilot actions in sectors best benefitting from data-driven innovation
102;healthcare;0,050304949;2;Big Data PPP: Large Scale Pilot actions in sectors best benefitting from data-driven innovation
102;data;0,041804713;3;Big Data PPP: Large Scale Pilot actions in sectors best benefitting from data-driven innovation
102;bioeconomy;0,034436832;4;Big Data PPP: Large Scale Pilot actions in sectors best benefitting from data-driven innovation
102;logistics;0,033768773;5;Big Data PPP: Large Scale Pilot actions in sectors best benefitting from data-driven innovation
102;factories;0,029322463;6;Big Data PPP: Large Scale Pilot actions in sectors best benefitting from data-driven innovation
102;pilots;0,026464392;7;Big Data PPP: Large Scale Pilot actions in sectors best benefitting from data-driven innovation
102;mobility;0,024574496;8;Big Data PPP: Large Scale Pilot actions in sectors best benefitting from data-driven innovation
102;boost;0,02127565;9;Big Data PPP: Large Scale Pilot actions in sectors best benefitting from data-driven innovation
102;sector;0,0198991;10;Big Data PPP: Large Scale Pilot actions in sectors best benefitting from data-driven innovation
1020;drug;0,09207812;1;VALIDATION OF TRANSLATIONAL IMAGING METHODS IN DRUG SAFETY ASSESSMENT (TRISTAN)
1020;imaging;0,074217304;2;VALIDATION OF TRANSLATIONAL IMAGING METHODS IN DRUG SAFETY ASSESSMENT (TRISTAN)
1020;lung;0,06153982;3;VALIDATION OF TRANSLATIONAL IMAGING METHODS IN DRUG SAFETY ASSESSMENT (TRISTAN)
1020;pet;0,057359815;4;VALIDATION OF TRANSLATIONAL IMAGING METHODS IN DRUG SAFETY ASSESSMENT (TRISTAN)
1020;patients;0,053269839;5;VALIDATION OF TRANSLATIONAL IMAGING METHODS IN DRUG SAFETY ASSESSMENT (TRISTAN)
1020;characterise;0,04197395;6;VALIDATION OF TRANSLATIONAL IMAGING METHODS IN DRUG SAFETY ASSESSMENT (TRISTAN)
1020;fluorescence;0,039744094;7;VALIDATION OF TRANSLATIONAL IMAGING METHODS IN DRUG SAFETY ASSESSMENT (TRISTAN)
1020;biomarker;0,038596901;8;VALIDATION OF TRANSLATIONAL IMAGING METHODS IN DRUG SAFETY ASSESSMENT (TRISTAN)
1020;drugs;0,033942777;9;VALIDATION OF TRANSLATIONAL IMAGING METHODS IN DRUG SAFETY ASSESSMENT (TRISTAN)
1020;biology;0,032607851;10;VALIDATION OF TRANSLATIONAL IMAGING METHODS IN DRUG SAFETY ASSESSMENT (TRISTAN)
1021;according;0,062418105;1;Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level
1021;jti;0,059087146;2;Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level
1021;units;0,058884603;3;Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level
1021;cs2;0,055073735;4;Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level
1021;fly;0,053625186;5;Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level
1021;actuators;0,049582047;6;Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level
1021;permit;0,048547729;7;Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level
1021;tests;0,047656759;8;Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level
1021;minimize;0,042987943;9;Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level
1021;certification;0,04080645;10;Validation tests of electromechanical actuators and its dedicated control units at TRL 6 level
1022;macro;0,191393636;1;Valorisation of aquatic biomass 
1022;cascade;0,152056432;2;Valorisation of aquatic biomass 
1022;algae;0,114042324;3;Valorisation of aquatic biomass 
1022;enzymatic;0,07441315;4;Valorisation of aquatic biomass 
1022;cosmetics;0,073651642;5;Valorisation of aquatic biomass 
1022;pharmaceutical;0,058931818;6;Valorisation of aquatic biomass 
1022;marine;0,055014225;7;Valorisation of aquatic biomass 
1022;processing;0,05126331;8;Valorisation of aquatic biomass 
1022;feed;0,049811865;9;Valorisation of aquatic biomass 
1022;bio;0,045493645;10;Valorisation of aquatic biomass 
1023;flagship;0,147948117;1;Valorisation of cellulose into new added value products 
1023;plant;0,11554334;2;Valorisation of cellulose into new added value products 
1023;segments;0,056689546;3;Valorisation of cellulose into new added value products 
1023;tons;0,046271997;4;Valorisation of cellulose into new added value products 
1023;gaining;0,043940882;5;Valorisation of cellulose into new added value products 
1023;market;0,037630726;6;Valorisation of cellulose into new added value products 
1023;full;0,028714622;7;Valorisation of cellulose into new added value products 
1023;establishing;0,028439172;8;Valorisation of cellulose into new added value products 
1023;products;0,026414011;9;Valorisation of cellulose into new added value products 
1023;commercialising;0,025701655;10;Valorisation of cellulose into new added value products 
1024;marketplace;0,100659552;1;Valorisation of FP7 Health and H2020 SC1 research results
1024;health;0,080293432;2;Valorisation of FP7 Health and H2020 SC1 research results
1024;valorisation;0,076898999;3;Valorisation of FP7 Health and H2020 SC1 research results
1024;fp7;0,069673622;4;Valorisation of FP7 Health and H2020 SC1 research results
1024;pull;0,069005247;5;Valorisation of FP7 Health and H2020 SC1 research results
1024;push;0,052255217;6;Valorisation of FP7 Health and H2020 SC1 research results
1024;valued;0,042795727;7;Valorisation of FP7 Health and H2020 SC1 research results
1024;projects;0,038724999;8;Valorisation of FP7 Health and H2020 SC1 research results
1024;actively;0,030081299;9;Valorisation of FP7 Health and H2020 SC1 research results
1024;results;0,029266279;10;Valorisation of FP7 Health and H2020 SC1 research results
1025;oxidation;0,048312775;1;Valorisation of lignin and other side-streams to increase efficiency of biorefineries and increase sustainability of the whole value chain
1025;valorisation;0,04215335;2;Valorisation of lignin and other side-streams to increase efficiency of biorefineries and increase sustainability of the whole value chain
1025;tons;0,030989502;3;Valorisation of lignin and other side-streams to increase efficiency of biorefineries and increase sustainability of the whole value chain
1025;entry;0,027701082;4;Valorisation of lignin and other side-streams to increase efficiency of biorefineries and increase sustainability of the whole value chain
1025;techno;0,026596664;5;Valorisation of lignin and other side-streams to increase efficiency of biorefineries and increase sustainability of the whole value chain
1025;versatile;0,026596664;6;Valorisation of lignin and other side-streams to increase efficiency of biorefineries and increase sustainability of the whole value chain
1025;process;0,025004926;7;Valorisation of lignin and other side-streams to increase efficiency of biorefineries and increase sustainability of the whole value chain
1025;streams;0,023553853;8;Valorisation of lignin and other side-streams to increase efficiency of biorefineries and increase sustainability of the whole value chain
1025;demonstrated;0,022912092;9;Valorisation of lignin and other side-streams to increase efficiency of biorefineries and increase sustainability of the whole value chain
1025;product;0,022698032;10;Valorisation of lignin and other side-streams to increase efficiency of biorefineries and increase sustainability of the whole value chain
1026;waste;0,082807531;1;Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy
1026;fraction;0,048673355;2;Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy
1026;products;0,041736424;3;Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy
1026;organic;0,040033029;4;Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy
1026;biobased;0,035697519;5;Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy
1026;polymers;0,028612143;6;Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy
1026;circular;0,027361201;7;Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy
1026;biogas;0,024366504;8;Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy
1026;contributed;0,023032642;9;Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy
1026;valorization;0,023032642;10;Valorisation of the organic content of Municipal Solid Waste and contributing to the renewable circular economy
1027;wastewater;0,166548353;1;Valorisation of the organic content of wastewater as feedstock, contributing to the renewable circular economy
1027;recovery;0,073026821;2;Valorisation of the organic content of wastewater as feedstock, contributing to the renewable circular economy
1027;recovered;0,064786838;3;Valorisation of the organic content of wastewater as feedstock, contributing to the renewable circular economy
1027;pure;0,062594257;4;Valorisation of the organic content of wastewater as feedstock, contributing to the renewable circular economy
1027;added;0,039571402;5;Valorisation of the organic content of wastewater as feedstock, contributing to the renewable circular economy
1027;water;0,037580071;6;Valorisation of the organic content of wastewater as feedstock, contributing to the renewable circular economy
1027;biopolymers;0,036313952;7;Valorisation of the organic content of wastewater as feedstock, contributing to the renewable circular economy
1027;metabolites;0,035467213;8;Valorisation of the organic content of wastewater as feedstock, contributing to the renewable circular economy
1027;process;0,035168218;9;Valorisation of the organic content of wastewater as feedstock, contributing to the renewable circular economy
1027;cascade;0,03507108;10;Valorisation of the organic content of wastewater as feedstock, contributing to the renewable circular economy
1028;heat;0,116614035;1;Valorisation of waste heat in industrial systems (SPIRE PPP)
1028;energy;0,047201719;2;Valorisation of waste heat in industrial systems (SPIRE PPP)
1028;waste;0,045029519;3;Valorisation of waste heat in industrial systems (SPIRE PPP)
1028;recovery;0,037304191;4;Valorisation of waste heat in industrial systems (SPIRE PPP)
1028;ceramic;0,029455509;5;Valorisation of waste heat in industrial systems (SPIRE PPP)
1028;intensive;0,023952142;6;Valorisation of waste heat in industrial systems (SPIRE PPP)
1028;loop;0,023108715;7;Valorisation of waste heat in industrial systems (SPIRE PPP)
1028;emissions;0,022077416;8;Valorisation of waste heat in industrial systems (SPIRE PPP)
1028;costs;0,021822586;9;Valorisation of waste heat in industrial systems (SPIRE PPP)
1028;thermal;0,021334604;10;Valorisation of waste heat in industrial systems (SPIRE PPP)
1029;displays;0,083753012;1;Very high brightness & compact full color display for next generation eyes-out cockpit products
1029;cmos;0,043189749;2;Very high brightness & compact full color display for next generation eyes-out cockpit products
1029;quantum;0,039972577;3;Very high brightness & compact full color display for next generation eyes-out cockpit products
1029;led;0,038258914;4;Very high brightness & compact full color display for next generation eyes-out cockpit products
1029;display;0,036905343;5;Very high brightness & compact full color display for next generation eyes-out cockpit products
1029;head;0,036378529;6;Very high brightness & compact full color display for next generation eyes-out cockpit products
1029;matrix;0,033239654;7;Very high brightness & compact full color display for next generation eyes-out cockpit products
1029;compact;0,030305642;8;Very high brightness & compact full color display for next generation eyes-out cockpit products
